location,latitude,longitude,class,radius
Ķelles,57.3230556,26.8502778,support,200000
’Aïn Guettara,36.5181102,6.4315752,support,200000
Sellia,38.9822836,16.6296843,support,200000
Walvis Ridge,-22.9542501,14.5074577,support,400000
De La Basilique,41.9021569,12.453712068088656,support,200000
Seymour Island,76.80903384999999,-101.26667549577425,support,200000
Brookhaven,31.5790588,-90.4406506,support,400000
Arctic Ocean,83.0,-170.0,support,200000
Atlantic County,39.5143268,-74.6632883,support,800000
North Pacific,54.1944325,-130.2241153,support,200000
Alaska,64.4459613,-149.680909,support,200000
Gulf of Alaska,59.0000001,-145.0,support,200000
Greenland,77.6192349,-42.8125967,support,200000
Kobashi,40.9235052,140.668318,support,200000
Kobashi,40.9235052,140.668318,support,200000
Kobashi,40.9235052,140.668318,support,200000
Indian Ocean,-9.9999999,69.9999999,support,400000
Republic of Austria,47.2,13.2,support,200000
Daejeon,36.3496,127.3848,support,200000
Stevns Klint,55.3228164,12.4479861,support,200000
Kingdom of Denmark,71.7919151,-38.83977521933279,support,200000
Kingdom of Denmark,71.7919151,-38.83977521933279,support,200000
Kingdom of Denmark,71.7919151,-38.83977521933279,support,200000
Lago d'Iseo,45.7388781,10.07086612061877,negate,200000
Thessalía,37.2524378,-80.7865256,negate,200000
Ettermiddagsåsen,59.0201306,10.0792028,support,200000
Ettermiddagsåsen,59.0201306,10.0792028,support,200000
Capitangan,14.8413858,120.7988673,support,200000
Abidjan,5.320357,-4.016107,support,200000
Ziway,7.9358063,38.7164929,support,200000
Ziway,7.9358063,38.7164929,support,200000
Margate City,39.327894,-74.5034858,support,600000
Hell Point Creek,36.728488,-75.968804,negate,200000
Montana,47.3752671,-109.638757,negate,200000
San Juan Basin,37.954109,-109.8687576,negate,200000
Arab Republic of Egypt,26.2540493,29.2675469,support,200000
Herethere,37.8472676,-122.2714342,support,200000
Herethere,37.8472676,-122.2714342,support,200000
People’s Republic of China,35.000074,104.999927,support,200000
Municipio de Chichicastenango,14.9428673,-91.1116613,support,200000
Jharia,23.7414767,86.4189974,support,200000
New Jersey,40.0757384,-74.4041622,negate,200000
New Jersey,40.0757384,-74.4041622,negate,200000
Ross Sea,-74.1765653,-168.91675360863445,support,200000
Antarctica,-79.4063075,0.3149312,support,200000
Switzerland,46.7985624,8.2319736,support,200000
Northern Europe,47.9437605,20.3212889,support,200000
Europe,51.0,10.0,support,400000
Iberian Peninsula,39.8952029,-4.49836304748148,support,200000
Langenorla,50.7407656,11.579504,support,200000
