location,latitude,longitude,class,radius
Stockholm,59.3251172,18.0710935,support,200000
Gasperina,38.7396499,16.5073811,support,200000
Greenland,77.6192349,-42.8125967,negate,200000
Portuguese Republic,40.0332629,-7.8896263,support,200000
Los Chocoyos,11.9530172,-86.3677407,support,200000
Europe,51.0,10.0,support,200000
People’s Republic of China,35.000074,104.999927,support,200000
Bering Sea,60.0000001,-175.0,support,200000
Saltwood,51.0801648,1.08179,support,200000
